geneID,v5_gene_id,category,keep_flag,gene_name,annotation
GRMZM2G425774,Zm00001eb232450,FT,1,VEL1,(VEL1) vernalization5/VIN3-like
GRMZM2G126552,Zm00001eb165440,FT,1,VIP3,(VIP3) Transducin/WD40 repeat-like superfamily protein
GRMZM2G145041,Zm00001eb228670,FT,1,RVE2 ortholog,an ortholog of the RVE2 gene; regulate circadian genes
GRMZM2G179024,Zm00001eb319590,FT,1,APRR5,"APRR5: play circadian-associated roles (Eriksson and Millar 2003, Nakamichi et al. 2004)"
GRMZM2G064466,Zm00001eb021970,FT,1,hb100,hb100 - Homeobox-transcription factor 100
GRMZM2G115960,Zm00001eb129520,FT,1,PIF3.1,"PIF3.1:  phytochrome-interacting factor (PIF) basic helix-loop-helix (bHLH) family members, ZmPIF3.1"
GRMZM2G472693,Zm00001eb008650,FT,1,PRICHEXTENSNl,PRICHEXTENSNl; histone-lysine N-methyltransferases
GRMZM2G106928,Zm00001eb039000,FT,1,Superoxide dismutase,Superoxide dismutase [Cu-Zn]
GRMZM2G021471,Zm00001eb137870,FT,1,VIN3,VERNALIZATION INSENSITIVE 3 (VIN3)
GRMZM2G179264,Zm00001eb353250,FT,1,ZCN8,"ZCN8, analogous to FT in Arabidopsis"
GRMZM2G081127,Zm00001eb332190,FT,1,,ZmSPL27: SQUAMOSA promoter binding protein-like (SPL) transcription factors (TFs)
GRMZM2G113244,Zm00001eb273260,FT,1,,zmZTLa: F-box protein ZEITLUPE: circadian clock gene
GRMZM2G160268,Zm00001eb179680,FT,1,,"(CAB4, LHCA4) light-harvesting chlorophyll-protein complex I subunit A4"
GRMZM2G004703,Zm00001eb352350,FT,1,,"(ACAM-2, CAM5) calmodulin 5"
GRMZM2G088487,Zm00001eb411820,FT,1,,"(ARP6, ATARP6) actin-related protein 6"
AC209636.2_FG003,Zm00001eb287940,FT,1,,"(AtCXE17, CXE17) carboxyesterase 17"
GRMZM2G090156,Zm00001eb208320,FT,1,,(FIO1) methyltransferases
GRMZM2G019863,Zm00001eb074140,FT,1,,(FLD) Flavin containing amine oxidoreductase family protein
GRMZM2G010884,Zm00001eb388510,FT,1,,(LHCA3) photosystem I light harvesting complex gene 3;  chlorophyll A-B binding protein
GRMZM2G320013,Zm00001eb152080,FT,1,,(LINC4) little nuclei4
GRMZM2G020291,Zm00001eb344140,FT,1,,(SPA1) SPA (suppressor of phyA-105) protein family
GRMZM2G130724,Zm00001eb410700,FT,1,,"(VIL1, VRN5) Fibronectin type III domain-containing protein"
GRMZM2G126010,Zm00001eb348450,FT,1,,act1 - actin1
GRMZM2G478417,Zm00001eb038010,FT,1,,bzip49 - bZIP-transcription factor 49; abscisic acid responsive elements-binding factor 2 (Arabidopsis)
GRMZM2G005126,Zm00001eb417000,FT,1,,c3h24 - C3H-transcription factor 324
GRMZM2G089812,Zm00001eb010770,FT,1,,ca5p11 - CCAAT-HAP5-transcription factor 511
GRMZM2G091449,Zm00001eb302880,FT,1,,Cleavage and polyadenylation specificity factor (CPSF) A subunit protein
GRMZM2G041991,Zm00001eb253650,FT,1,,col12 - C2C2-CONSTANS-like-transcription factor 12
GRMZM2G013398,Zm00001eb380990,FT,1,,col6 - C2C2-CONSTANS-like-transcription factor 6
GRMZM2G162737,Zm00001eb093140,FT,1,,Cytochrome P450 superfamily
GRMZM2G169654,Zm00001eb156040,FT,1,,ereb126 - AP2-EREBP-transcription factor 126
GRMZM5G844173,Zm00001eb122110,FT,1,,gigantea2
GRMZM2G102499,Zm00001eb080570,FT,1,,grf1 - general regulatory factor1
GRMZM2G074645,Zm00001eb347710,FT,1,,hb123 - Homeobox-transcription factor 123
GRMZM2G001289,Zm00001eb070050,FT,1,,hb75 - Homeobox-transcription factor 75; (PDF2) protodermal factor 2
GRMZM2G122897,Zm00001eb431350,FT,1,,hb91 - Homeobox-transcription factor 91
GRMZM2G423337,Zm00001eb050660,FT,1,,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
GRMZM2G057466,Zm00001eb025020,FT,1,,jmj14 - JUMONJI-transcription factor 14
GRMZM2G180086,Zm00001eb224940,FT,1,,jmj16 - JUMONJI-transcription factor 16
GRMZM2G029850,Zm00001eb250940,FT,1,,mybr52 - MYB-related-transcription factor 52; (RVE1) Homeodomain-like superfamily protein
GRMZM2G032711,Zm00001eb331890,FT,1,,nfc104a - nucleosome/chromatin assembly factor 104
GRMZM2G116658,Zm00001eb319090,FT,1,,ocl3 - outer cell layer3
GRMZM2G473891,Zm00001eb095540,FT,1,,PAB2: poly(A) binding protein 2
GRMZM2G034152,Zm00001eb413630,FT,1,,pao1 - polyamine oxidase1
GRMZM2G119357,Zm00001eb041990,FT,1,,phd2 - PHD-transcription factor 2
GRMZM2G097726,Zm00001eb302190,FT,1,,phd3 - PHD-transcription factor 3
GRMZM2G157727,Zm00001eb055460,FT,1,,phyA1 - phytochromeA1
GRMZM2G387528,Zm00001eb332400,FT,1,,pif3 - phytochrome interacting factor3
GRMZM2G051101,Zm00001eb203310,FT,1,,Protein with RING/U-box and TRAF-like domains
GRMZM2G081075,Zm00001eb237020,FT,1,,Protein with RING/U-box and TRAF-like domains
GRMZM2G309063,Zm00001eb119040,FT,1,,Protein with RING/U-box and TRAF-like domains
GRMZM2G135446,Zm00001eb092230,FT,1,,response regulator receiver domain containing protein
GRMZM2G140577,Zm00001eb352310,FT,1,,sdg105 - set domain gene105
GRMZM2G012601,Zm00001eb341180,FT,1,,SUMO protease class C ESD4 type
GRMZM2G445944,Zm00001eb259370,FT,1,,tcptf4 - TCP-transcription factor 4
GRMZM2G092214,Zm00001eb142960,FT,1,,tcptf8 - TCP-transcription factor 8
GRMZM2G058292,Zm00001eb250740,FT,1,,Transducin/WD40 repeat-like superfamily protein
Zm00001eb121780,Zm00001eb121780,targ,1,hpc1,
Zm00001eb231720,Zm00001eb231720,targ,1,nlp1,
Zm00001eb421910,Zm00001eb421910,Fst_landraces_N,1,,
Zm00001eb346210,Zm00001eb346210,Fst_landraces_N,1,,
Zm00001eb384860,Zm00001eb384860,Fst_landraces_N,1,,
Zm00001eb385190,Zm00001eb385190,Fst_landraces_N,1,,
Zm00001eb009920,Zm00001eb009920,Fst_landraces_N,1,,
Zm00001eb421860,Zm00001eb421860,Fst_landraces_N,1,,
Zm00001eb028520,Zm00001eb028520,Fst_landraces_N,1,,
Zm00001eb384970,Zm00001eb384970,Fst_landraces_N,1,,
Zm00001eb048270,Zm00001eb048270,Fst_landraces_N,1,,
Zm00001eb250480,Zm00001eb250480,Fst_landraces_N,1,,
Zm00001eb122350,Zm00001eb122350,Fst_landraces_N,1,,
Zm00001eb220840,Zm00001eb220840,Fst_landraces_N,1,,
Zm00001eb141560,Zm00001eb141560,Fst_landraces_N,1,,
Zm00001eb289050,Zm00001eb289050,Fst_landraces_N,1,,
Zm00001eb137200,Zm00001eb137200,Fst_landraces_N,1,,
Zm00001eb009580,Zm00001eb009580,Fst_landraces_N,1,,
Zm00001eb151450,Zm00001eb151450,Fst_landraces_N,1,,
Zm00001eb425240,Zm00001eb425240,Fst_landraces_N,1,,
Zm00001eb414020,Zm00001eb414020,Fst_landraces_N,1,,
Zm00001eb224720,Zm00001eb224720,Fst_landraces_N,1,,
Zm00001eb135550,Zm00001eb135550,Fst_landraces_N,1,,
Zm00001eb041630,Zm00001eb041630,Fst_landraces_N,1,,
Zm00001eb199530,Zm00001eb199530,Fst_landraces_N,1,,
Zm00001eb208580,Zm00001eb208580,Fst_landraces_N,1,,
Zm00001eb014600,Zm00001eb014600,Fst_landraces_N,1,,
Zm00001eb074680,Zm00001eb074680,Fst_landraces_N,1,,
Zm00001eb224690,Zm00001eb224690,Fst_landraces_N,1,,
Zm00001eb151480,Zm00001eb151480,Fst_landraces_N,1,,
Zm00001eb289030,Zm00001eb289030,Fst_landraces_N,1,,
Zm00001eb151220,Zm00001eb151220,Fst_landraces_N,1,,
Zm00001eb107050,Zm00001eb107050,Fst_landraces_N,1,,
Zm00001eb413860,Zm00001eb413860,Fst_landraces_N,1,,
Zm00001eb231770,Zm00001eb231770,Fst_landraces_N,1,,
Zm00001eb138370,Zm00001eb138370,Fst_landraces_N,1,,
Zm00001eb110930,Zm00001eb110930,Fst_landraces_N,1,,
Zm00001eb009900,Zm00001eb009900,Fst_landraces_N,1,,
Zm00001eb233960,Zm00001eb233960,Fst_landraces_N,1,,
Zm00001eb384950,Zm00001eb384950,Fst_landraces_N,1,,
Zm00001eb083810,Zm00001eb083810,Fst_landraces_N,1,,
Zm00001eb166870,Zm00001eb166870,Fst_landraces_N,1,,
Zm00001eb049890,Zm00001eb049890,Fst_landraces_N,1,,
Zm00001eb028570,Zm00001eb028570,Fst_landraces_N,1,,
Zm00001eb010210,Zm00001eb010210,Fst_landraces_N,1,,
Zm00001eb133570,Zm00001eb133570,Fst_landraces_N,1,,
Zm00001eb267390,Zm00001eb267390,Fst_landraces_N,1,,
Zm00001eb398870,Zm00001eb398870,Fst_landraces_N,1,,
Zm00001eb031250,Zm00001eb031250,Fst_landraces_N,1,,
Zm00001eb122110,Zm00001eb122110,Fst_landraces_N,1,,
Zm00001eb000170,Zm00001eb000170,Fst_landraces_N,1,,
Zm00001eb044840,Zm00001eb044840,Fst_landraces_N,1,,
Zm00001eb430620,Zm00001eb430620,Fst_landraces_N,1,,
Zm00001eb132310,Zm00001eb132310,Fst_landraces_N,1,,
Zm00001eb215120,Zm00001eb215120,Fst_landraces_N,1,,
Zm00001eb035350,Zm00001eb035350,Fst_landraces_N,1,,
Zm00001eb015200,Zm00001eb015200,Fst_landraces_N,1,,
Zm00001eb343340,Zm00001eb343340,Fst_landraces_N,1,,
Zm00001eb346680,Zm00001eb346680,Fst_landraces_N,1,,
Zm00001eb343660,Zm00001eb343660,Fst_landraces_N,1,,
Zm00001eb153100,Zm00001eb153100,Fst_landraces_N,1,,
Zm00001eb146250,Zm00001eb146250,Fst_landraces_N,1,,
Zm00001eb346230,Zm00001eb346230,Fst_landraces_N,1,,
Zm00001eb127020,Zm00001eb127020,Fst_landraces_N,1,,
Zm00001eb365960,Zm00001eb365960,Fst_landraces_N,1,,
Zm00001eb403750,Zm00001eb403750,Fst_landraces_N,1,,
Zm00001eb331920,Zm00001eb331920,Fst_landraces_N,1,,
Zm00001eb399630,Zm00001eb399630,Fst_landraces_N,1,,
Zm00001eb360020,Zm00001eb360020,Fst_landraces_N,1,,
Zm00001eb102030,Zm00001eb102030,Fst_landraces_N,1,,
Zm00001eb231790,Zm00001eb231790,Fst_landraces_N,1,,
Zm00001eb174640,Zm00001eb174640,Fst_landraces_N,1,,
Zm00001eb355290,Zm00001eb355290,Fst_landraces_N,1,,
Zm00001eb355300,Zm00001eb355300,Fst_landraces_N,1,,
Zm00001eb019780,Zm00001eb019780,Fst_landraces_N,1,,
Zm00001eb384900,Zm00001eb384900,Fst_landraces_N,1,,
Zm00001eb308830,Zm00001eb308830,Fst_landraces_N,1,,
Zm00001eb148220,Zm00001eb148220,Fst_landraces_N,1,,
Zm00001eb201230,Zm00001eb201230,Fst_landraces_N,1,,
Zm00001eb273940,Zm00001eb273940,Fst_landraces_N,1,,
Zm00001eb145500,Zm00001eb145500,Fst_landraces_N,1,,
Zm00001eb250240,Zm00001eb250240,Fst_landraces_N,1,,
